Tree ID,Species,Planting Date,lon,lat
807,Ligustrum lucidum,3/7/81,-122.43341219700,37.75128426270
3197,Eucalyptus ficifolia,3/7/81,-122.43294965700,37.75621600990
8660,Liquidambar styraciflua,3/7/81,-122.42860234000,37.75248618320
9670,Ligustrum lucidum,3/7/81,-122.42999295100,37.75148723340
29861,Magnolia grandiflora (other),3/7/81,-122.43214372000,37.75395109160
32882,Liquidambar styraciflua,3/7/81,-122.42860234000,37.75248618320
34967,Pittosporum undulatum,3/7/81,-122.42990132000,37.75427228080
35237,Platanus acerfolia (other),3/7/81,-122.43219586900,37.75489806690
1368,Platanus acerfolia (other),3/21/81,-122.41660218400,37.73692686770
1369,Koelreuteria bipinnata,3/21/81,-122.41677522200,37.73576774140
2123,Platanus acerfolia (other),3/21/81,-122.41669225900,37.73595144770
3190,Koelreuteria bipinnata,3/21/81,-122.41669699900,37.73587915030
3195,Tristania conferta,3/21/81,-122.41676218600,37.73519528960
4300,Tristania conferta,3/21/81,-122.41682855600,37.73634967470
4766,Platanus acerfolia (other),3/21/81,-122.41669225900,37.73595144770
5715,Koelreuteria bipinnata,3/21/81,-122.41670766600,37.73574403800
7644,Koelreuteria bipinnata,3/21/81,-122.41837879900,37.73643856550
8850,Koelreuteria bipinnata,3/21/81,-122.41670174000,37.73581633450
9260,Platanus acerfolia (other),3/21/81,-122.41669225900,37.73595144770
9373,Koelreuteria bipinnata,3/21/81,-122.41829939100,37.73643382430
11182,Tristania conferta,3/21/81,-122.41673255600,37.73547262620
18082,Tristania conferta,3/21/81,-122.41682855600,37.73634967470
30885,Koelreuteria bipinnata,3/21/81,-122.41662351600,37.73670168010
812,Ficus microcarpa 'nitida',6/13/81,-122.44557204500,37.79020164090
2878,Magnolia grandiflora (other),6/13/81,-122.44544522900,37.79107276290
10614,Ficus microcarpa 'nitida',6/13/81,-122.44502698100,37.79019371250
10615,Ficus microcarpa 'nitida',6/13/81,-122.44512193600,37.79018062370
12770,Prunus cerasifera 'Krauter Vesuvius',6/13/81,-122.44534349700,37.79015008460
12771,Prunus cerasifera 'Krauter Vesuvius',6/13/81,-122.44540848700,37.79016845500
15787,Ficus microcarpa 'nitida',6/13/81,-122.44502698100,37.79019371250
15788,Ficus microcarpa 'nitida',6/13/81,-122.44512193600,37.79018062370
25667,Magnolia grandiflora (other),6/13/81,-122.44544522900,37.79107276290
26421,Magnolia grandiflora (other),6/13/81,-122.44544522900,37.79107276290
29000,Magnolia grandiflora (other),6/13/81,-122.44544522900,37.79107276290
29421,Ficus microcarpa 'nitida',6/13/81,-122.44574715800,37.79020574540
29422,Platanus acerfolia (other),6/13/81,-122.44498300000,37.79022771490
31928,Magnolia grandiflora (other),6/13/81,-122.44544522900,37.79107276290
33364,Prunus cerasifera 'Krauter Vesuvius',6/13/81,-122.44534349700,37.79015008460
34852,Ficus microcarpa 'nitida',6/13/81,-122.44574715800,37.79020574540
34853,Platanus acerfolia (other),6/13/81,-122.44498300000,37.79022771490
1650,Metrosideros excelsus,6/27/81,-122.43856869400,37.75227640280
3196,Metrosideros excelsus,6/27/81,-122.43850824900,37.75053178730
4105,Metrosideros excelsus,6/27/81,-122.43856276700,37.75220529070
4106,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43844497700,37.75094864650
4212,Metrosideros excelsus,6/27/81,-122.43002621200,37.75448962810
4475,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43857271300,37.75083787700
4476,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43852247100,37.75067519590
4950,Metrosideros excelsus,6/27/81,-122.43775920200,37.75186276780
5103,Metrosideros excelsus,6/27/81,-122.43863387900,37.75222662450
5427,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43844497700,37.75094864650
7656,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43014547200,37.75473450900
8333,Metrosideros excelsus,6/27/81,-122.43856276700,37.75220529070
10208,Metrosideros excelsus,6/27/81,-122.43843832200,37.75052941670
13668,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43024739900,37.75472858250
19325,Metrosideros excelsus,6/27/81,-122.43848810000,37.75033385820
20127,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43851536000,37.75060289940
22081,Metrosideros excelsus,6/27/81,-122.43865165700,37.75243284890
22082,Metrosideros excelsus,6/27/81,-122.43864573200,37.75236055150
23769,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43844497700,37.75094864650
25032,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43844497700,37.75094864650
25243,Metrosideros excelsus,6/27/81,-122.43831624600,37.75188884180
25901,Metrosideros excelsus,6/27/81,-122.43856276700,37.75220529070
30328,Magnolia grandiflora 'Samuel Sommer',6/27/81,-122.43857271300,37.75083787700
35055,Metrosideros excelsus,6/27/81,-122.43856276700,37.75220529070
37067,Metrosideros excelsus,6/27/81,-122.43133067300,37.75390723880
930,Geijera parviflora,7/25/81,-122.41695300300,37.73769013670
4301,Geijera parviflora,7/25/81,-122.41839776200,37.73782406460
7645,Geijera parviflora,7/25/81,-122.41839776200,37.73782406460
9669,Geijera parviflora,7/25/81,-122.41739745300,37.73778732370
18782,Geijera parviflora,7/25/81,-122.41731330400,37.73772332260
18783,Prunus blireiana,7/25/81,-122.41714382000,37.73770791540
19556,Geijera parviflora,7/25/81,-122.41818324100,37.73780154560
19561,Geijera parviflora,7/25/81,-122.41706559700,37.73770080360
38393,Geijera parviflora,7/25/81,-122.41662588700,37.73748746820
3869,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
24884,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
25073,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
26872,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
28099,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
29598,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
30033,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
31095,Eucalyptus ficifolia,9/19/81,-122.43046192100,37.78868221290
1361,Metrosideros excelsus,10/10/81,-122.38203936000,37.72892557790
2610,Metrosideros excelsus,10/10/81,-122.38379227100,37.72997685120
2842,Metrosideros excelsus,10/10/81,-122.38421064800,37.73020796520
5360,Metrosideros excelsus,10/10/81,-122.38365123300,37.72983462700
5616,Metrosideros excelsus,10/10/81,-122.38281803700,37.72936173200
7347,Metrosideros excelsus,10/10/81,-122.38326248700,37.72968529180
11231,Metrosideros excelsus,10/10/81,-122.38458872600,37.73035848570
11784,Metrosideros excelsus,10/10/81,-122.38196469200,37.72888409570
13186,Metrosideros excelsus,10/10/81,-122.38472620900,37.73043789400
13187,Metrosideros excelsus,10/10/81,-122.38307048500,37.72957269760
13289,Metrosideros excelsus,10/10/81,-122.38423909200,37.73015818690
13290,Metrosideros excelsus,10/10/81,-122.38430309300,37.73019492780
